"No.","Time","Source","Destination","Protocol","Length","Data","Info"
"10","0.051953","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C93548, SEQ=0000000001"
"12","0.061663","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C93548, SEQ=0000000002"
"14","0.071889","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C93548, SEQ=0000000003"
"16","0.082109","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C93548, SEQ=0000000004"
"18","0.092304","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C93548, SEQ=0000000005"
"20","0.102571","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C93548, SEQ=0000000006"
"22","0.112775","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C93548, SEQ=0000000007"
"24","0.123225","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C93548, SEQ=0000000008"
"26","0.133691","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C93548, SEQ=0000000009"
"28","0.143883","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C93548, SEQ=0000000010"
"30","0.154206","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C93548, SEQ=0000000011"
"32","0.164405","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C93548, SEQ=0000000012"
"34","0.174975","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C93548, SEQ=0000000013"
"36","0.185150","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C93548, SEQ=0000000014"
"38","0.195473","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C93548, SEQ=0000000015"
"40","0.205693","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C93548, SEQ=0000000016"
